Wave,Time after wave started,Small Zombie,Small time delta,Fat Zombie,Fat time delta,Bicycle Zombie,Bicycle time delta,Lincoln Zombie,Lincoln time delta
1,50,50,1,0,0,0,0,0,0
1,20,20,1,0,0,0,0,0,0
1,40,30,1,0,3,0,0,0,0
2,0,30,0.2,0,0,0,0,0,0
3,0,40,0.1,0,0,0,0,0,0
4,0,60,0.4,0,0,0,0,0,0
4,15,60,0.4,0,0,0,0,0,0
4,25,70,0.4,0,0,0,0,0,0
5,5,45,0.1,0,0,0,0,0,0
5,10,50,0.1,0,0,0,0,0,0
6,0,45,0.1,0,0,0,0,0,0
6,15,50,0.1,0,0,0,0,0,0
7,0,50,0.1,0,0,0,0,0,0
7,15,55,0.1,0,0,0,0,0,0
8,0,55,0.1,0,0,0,0,0,0
8,15,60,0.1,0,0,0,0,0,0
9,0,60,0.1,0,0,0,0,0,0
9,15,70,0.1,0,0,0,0,0,0
10,0,80,0.1,0,0,0,0,0,0
10,15,90,0.1,0,0,0,0,0,0
10,25,100,0.1,0,0,0,0,0,0
